19	альбом	альбом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	12	obl	_	@sat1974m-words#@sat1974m#2612.398#2612.668
20	/	/	PUNCT	_	_	23	punct	_	@sat1974m-words#@sat1974m#2612.668#2612.938
21	а	а	CCONJ	_	_	23	cc	_	@sat1974m-words#@sat1974m#2612.938#2613.208
22	ещё	еще	ADV	_	Degree=Pos	23	advmod	_	@sat1974m-words#@sat1974m#2613.208#2613.478
23	хотелось	хотеться	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	19	conj	_	@sat1974m-words#@sat1974m#2613.478#2613.748
24	бы	бы	AUX	_	_	23	aux	_	@sat1974m-words#@sat1974m#2613.748#2614.018
25	узнать	узнать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	23	xcomp	_	@sat1974m-words#@sat1974m#2614.018#2614.288
26	где	где	ADV	_	Degree=Pos	59	advmod	_	@sat1974m-words#@sat1974m#2614.288#2614.558
27	и	и	PART	_	_	33	advmod	_	@sat1974m-words#@sat1974m#2614.558#2614.828
28	когда	когда	SCONJ	_	_	33	mark	_	@sat1974m-words#@sat1974m#2614.828#2615.098
29	в	в	ADP	_	_	30	case	_	@sat1974m-words#@sat1974m#2615.098#2615.368
30	Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	33	nsubj	_	@sat1974m-words#@sat1974m#2615.368#2615.638
31	/	/	PUNCT	_	_	30	punct	_	@sat1974m-words#@sat1974m#2615.638#2615.908
32	будет	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	33	cop	_	@sat1974m-words#@sat1974m#2615.908#2616.178
33	постановка	постановка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	59	nsubj	_	@sat1974m-words#@sat1974m#2616.178#2616.448
34	двух	два	NUM	_	Case=Gen	35	nummod	_	@sat1974m-words#@sat1974m#2616.448#2616.718
35	Э	Э	X	_	_	33	nmod	_	@sat1974m-words#@sat1974m#2616.718#2616.988
36	Р	Р	X	_	_	35	nmod	_	@sat1974m-words#@sat1974m#2616.988#2617.268
37	в	в	ADP	_	_	39	case	_	@sat1974m-words#@sat1974m#2621.634#2621.841
38	кои	кой	DET	_	Case=Acc|Number=Plur	39	det	_	@sat1974m-words#@sat1974m#2621.841#2622.048
39	веки	век	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur	33	nmod	_	@sat1974m-words#@sat1974m#2622.048#2622.255
40	про	про	ADP	_	_	41	case	_	@sat1974m-words#@sat1974m#2622.255#2622.462
41	музыку	музыка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	39	nmod	_	@sat1974m-words#@sat1974m#2622.462#2622.669
42	/	/	PUNCT	_	_	33	punct	_	@sat1974m-words#@sat1974m#2622.669#2622.876
43	про	про	ADP	_	_	44	case	_	@sat1974m-words#@sat1974m#2622.876#2623.083
44	творчество	творчество	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	59	nmod	_	@sat1974m-words#@sat1974m#2623.083#2623.292
45	про	про	ADP	_	_	47	case	_	@sat1974m-words#@sat1974m#2626.414#2626.763
46	новый	новый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	47	amod	_	@sat1974m-words#@sat1974m#2626.763#2627.112
47	альбом	альбом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	44	nmod	_	@sat1974m-words#@sat1974m#2627.112#2627.461
48	и	и	CCONJ	_	_	49	cc	_	@sat1974m-words#@sat1974m#2627.461#2627.81
49	клип	клип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	47	conj	_	@sat1974m-words#@sat1974m#2627.81#2628.159
50	Эпидемии	эпидемия	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	49	nmod	_	@sat1974m-words#@sat1974m#2628.159#2628.512
51	ну	ну	PART	_	_	59	discourse	_	@sat1974m-words#@sat1974m#2686.292#2686.495
52	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	51	fixed	_	@sat1974m-words#@sat1974m#2686.495#2686.698
53	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	51	fixed	_	@sat1974m-words#@sat1974m#2686.698#2686.902
54	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	59	mark	_	@sat1974m-words#@sat1974m#2687.231#2687.569
55	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	54	fixed	_	@sat1974m-words#@sat1974m#2687.569#2687.907
56	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	59	nsubj	_	@sat1974m-words#@sat1974m#2687.907#2688.245
57	будет	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	59	cop	_	@sat1974m-words#@sat1974m#2688.245#2688.583
58	/	/	PUNCT	_	_	59	punct	_	@sat1974m-words#@sat1974m#2688.583#2688.921
59	ээ	ээ	INTJ	_	_	25	ccomp	_	@sat1974m-words#@sat1974m#2688.921#2689.259
60	/	/	PUNCT	_	_	62	punct	_	@sat1974m-words#@sat1974m#2689.259#2689.597
61	так	так	ADV	_	Degree=Pos	62	advmod	_	@sat1974m-words#@sat1974m#2689.597#2689.935
62	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	68	xcomp	_	@sat1974m-words#@sat1974m#2689.935#2690.273
63	просто	просто	PART	_	_	64	advmod	_	@sat1974m-words#@sat1974m#2690.273#2690.611
64	альбом	альбом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	62	obl	_	@sat1974m-words#@sat1974m#2690.611#2690.949
65	металл-группы	металл-группа	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	64	nmod	_	@sat1974m-words#@sat1974m#2690.949#2691.292
66	слушай	слушать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	68	xcomp	_	@sat1974m-words#@sat1974m#2700.073#2700.504
67	ну	ну	PART	_	_	68	parataxis	_	@sat1974m-words#@sat1974m#2700.504#2700.935
68	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	25	xcomp	_	@sat1974m-words#@sat1974m#2700.935#2701.366
69	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	70	cop	_	@sat1974m-words#@sat1974m#2701.366#2701.797
70	послушали	послушать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	68	xcomp	_	@sat1974m-words#@sat1974m#2701.797#2702.228
71	там	там	ADV	_	Degree=Pos	68	advmod	_	@sat1974m-words#@sat1974m#2702.228#2702.659
72	Forces	Forces	PROPN	_	Foreign=Yes	68	conj	_	@sat1974m-words#@sat1974m#2702.659#2703.09
73	/	/	PUNCT	_	_	72	punct	_	@sat1974m-words#@sat1974m#2703.09#2703.521
74	и	и	CCONJ	_	_	75	cc	_	@sat1974m-words#@sat1974m#2703.521#2703.952
75	подумали	подумать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	68	conj	_	@sat1974m-words#@sat1974m#2703.952#2704.39
76	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	75	nsubj	_	@sat1974m-words#@sat1974m#2773.439#2773.817
77	представляю	представлять	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	75	xcomp	_	@sat1974m-words#@sat1974m#2773.817#2774.195
78	спрашивают	спрашивать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	85	csubj	_	@sat1974m-words#@sat1974m#2784.268#2784.648
79	про	про	ADP	_	_	82	case	_	@sat1974m-words#@sat1974m#2784.648#2785.028
80	новый	новый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	82	amod	_	@sat1974m-words#@sat1974m#2785.028#2785.408
81	сольный	сольный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	82	amod	_	@sat1974m-words#@sat1974m#2785.408#2785.788
82	альбом	альбом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	78	obl	_	@sat1974m-words#@sat1974m#2785.788#2786.17
83	русский	русский	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	84	amod	_	@sat1974m-words#@sat1974m#2820.182#2820.517
84	язык	язык	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	78	obj	_	@sat1974m-words#@sat1974m#2820.517#2820.853
85	слушай	слушать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	77	ccomp	_	@sat1974m-words#@sat1974m#2832.219#2832.438
86	ну	ну	PART	_	_	89	parataxis	_	@sat1974m-words#@sat1974m#2832.438#2832.657
87	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	89	nsubj	_	@sat1974m-words#@sat1974m#2832.657#2832.876
88	обычно	обычно	ADV	_	Degree=Pos	89	advmod	_	@sat1974m-words#@sat1974m#2832.876#2833.095
89	слушаю	слушать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	85	conj	_	@sat1974m-words#@sat1974m#2833.095#2833.314
90	его	его	DET	_	_	91	det	_	@sat1974m-words#@sat1974m#2833.314#2833.533
91	релизы	релиз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	89	obj	_	@sat1974m-words#@sat1974m#2833.533#2833.752
92	в	в	ADP	_	_	94	case	_	@sat1974m-words#@sat1974m#2833.752#2833.971
93	Бони	Бони	PROPN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	94	amod	_	@sat1974m-words#@sat1974m#2833.971#2834.19
94	НЕМ	НЕМ	PROPN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	91	nmod	_	@sat1974m-words#@sat1974m#2834.19#2834.409
95	/	/	PUNCT	_	_	103	punct	_	@sat1974m-words#@sat1974m#2834.409#2834.628
96	и	и	CCONJ	_	_	103	cc	_	@sat1974m-words#@sat1974m#2834.628#2834.847
97	там	там	ADV	_	Degree=Pos	103	advmod	_	@sat1974m-words#@sat1974m#2834.847#2835.066
98	по	по	ADP	_	_	99	case	_	@sat1974m-words#@sat1974m#2835.066#2835.285
99	началу	начало	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	103	nmod	_	@sat1974m-words#@sat1974m#2835.285#2835.504
100	всё	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	103	nsubj	_	@sat1974m-words#@sat1974m#2835.504#2835.723
101	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	103	cop	_	@sat1974m-words#@sat1974m#2835.723#2835.942
102	на	на	ADP	_	_	103	case	_	@sat1974m-words#@sat1974m#2835.942#2836.161
103	английски	английском	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	89	obl	_	@sat1974m-words#@sat1974m#2836.161#2836.38
104	/	/	PUNCT	_	_	111	punct	_	@sat1974m-words#@sat1974m#2836.38#2836.599
105	а	а	CCONJ	_	_	111	cc	_	@sat1974m-words#@sat1974m#2836.599#2836.818
106	потом	потом	ADV	_	Degree=Pos	111	advmod	_	@sat1974m-words#@sat1974m#2836.818#2837.037
107	/	/	PUNCT	_	_	111	punct	_	@sat1974m-words#@sat1974m#2837.037#2837.256
108	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	111	nsubj	_	@sat1974m-words#@sat1974m#2837.256#2837.487
109	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	111	nsubj	_	@sat1974m-words#@sat1974m#2838.219#2838.61
110	уже	уже	ADV	_	Degree=Pos	111	advmod	_	@sat1974m-words#@sat1974m#2838.61#2839.001
111	решил	решить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	103	conj	_	@sat1974m-words#@sat1974m#2839.001#2839.392
112	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	113	nsubj	_	@sat1974m-words#@sat1974m#2840.28#2840.53
113	понимаю	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	123	parataxis	_	@sat1974m-words#@sat1974m#2840.53#2840.78
114	/	/	PUNCT	_	_	113	punct	_	@sat1974m-words#@sat1974m#2840.78#2841.03
115	да	да	PART	_	_	123	advmod	_	@sat1974m-words#@sat1974m#2841.03#2841.28
116	но	но	CCONJ	_	_	123	cc	_	@sat1974m-words#@sat1974m#2842.78#2843.033
117	Бони	Бони	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	115	flat:name	_	@sat1974m-words#@sat1974m#2843.033#2843.286
118	НЕМ	НЕМ	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	123	nmod	_	@sat1974m-words#@sat1974m#2843.286#2843.539
119	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	123	nsubj	_	@sat1974m-words#@sat1974m#2843.539#2843.792
120	тоже	тоже	PART	_	_	123	advmod	_	@sat1974m-words#@sat1974m#2843.792#2844.045
121	же	же	PART	_	_	120	advmod	_	@sat1974m-words#@sat1974m#2844.045#2844.298
122	его	его	PRON	_	Case=Gen|Gender=Masc|Number=Sing|Person=3	123	nmod	_	@sat1974m-words#@sat1974m#2844.298#2844.551
123	детище	детище	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	111	obj	_	@sat1974m-words#@sat1974m#2844.551#2844.804
124	там	там	ADV	_	Degree=Pos	123	advmod	_	@sat1974m-words#@sat1974m#2847.487#2847.786
125	/	/	PUNCT	_	_	123	punct	_	@sat1974m-words#@sat1974m#2847.786#2848.085
126	да	да	PART	_	_	141	parataxis	_	@sat1974m-words#@sat1974m#2848.085#2848.384
127	/	/	PUNCT	_	_	141	punct	_	@sat1974m-words#@sat1974m#2848.384#2848.683
128	другая	другой	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	130	amod	_	@sat1974m-words#@sat1974m#2848.683#2848.982
129	его	его	DET	_	_	130	det	_	@sat1974m-words#@sat1974m#2848.982#2849.281
130	сторона	сторона	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	141	nsubj	_	@sat1974m-words#@sat1974m#2849.281#2849.585
131	слушай	слушать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	141	parataxis	_	@sat1974m-words#@sat1974m#2887.67#2887.932
132	а	а	CCONJ	_	_	135	cc	_	@sat1974m-words#@sat1974m#2887.932#2888.194
133	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	135	nsubj	_	@sat1974m-words#@sat1974m#2888.194#2888.456
134	сам	сам	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	133	amod	_	@sat1974m-words#@sat1974m#2888.456#2888.718
135	считаешь	считать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	131	conj	_	@sat1974m-words#@sat1974m#2888.718#2888.98
136	русский	русский	ADJ	_	Animacy=Inan|Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	137	amod	_	@sat1974m-words#@sat1974m#2888.98#2889.242
137	язык	язык	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	135	obj	_	@sat1974m-words#@sat1974m#2889.242#2889.504
138	действительно	действительно	ADV	_	Degree=Pos	139	obl	_	@sat1974m-words#@sat1974m#2889.504#2889.766
139	непевучий	непевучий	ADJ	_	Animacy=Inan|Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	135	obl	_	@sat1974m-words#@sat1974m#2889.766#2890.028
140	?	?	PUNCT	_	_	135	punct	_	@sat1974m-words#@sat1974m#2890.028#2890.296
141	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	123	conj	_	@sat1974m-words#@sat1974m#2894.073#2894.227
142	же	же	PART	_	_	141	advmod	_	@sat1974m-words#@sat1974m#2894.227#2894.381
143	там	там	ADV	_	Degree=Pos	141	advmod	_	@sat1974m-words#@sat1974m#2894.381#2894.536
144	Ария	ария	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	143	nsubj	_	@sat1974m-words#@sat1974m#2894.756#2895.097
145	/	/	PUNCT	_	_	147	punct	_	@sat1974m-words#@sat1974m#2895.097#2895.438
146	которые	который	PRON	_	Case=Acc	147	obj	_	@sat1974m-words#@sat1974m#2895.438#2895.779
147	поют	петь	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	144	acl:relcl	_	@sat1974m-words#@sat1974m#2895.779#2896.12
148	ну	ну	PART	_	_	152	parataxis	_	@sat1974m-words#@sat1974m#2899.763#2900.01
149	там	там	ADV	_	Degree=Pos	152	advmod	_	@sat1974m-words#@sat1974m#2900.01#2900.257
150	слова	слово	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur	152	nsubj	_	@sat1974m-words#@sat1974m#2900.257#2900.504
151	просто	просто	PART	_	_	152	advmod	_	@sat1974m-words#@sat1974m#2900.504#2900.751
152	меньше	мало	ADV	_	Degree=Cmp	161	nummod:gov	_	@sat1974m-words#@sat1974m#2900.751#2900.998
153	слогов	слог	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	152	obl	_	@sat1974m-words#@sat1974m#2900.998#2901.246
154	ага	ага	PART	_	_	153	nmod	_	@eie1987m-words#@eie1987m#2610.951#2611.512
155	очень	очень	ADV	_	Degree=Pos	157	obl	_	@eie1987m-words#@eie1987m#2619.17#2619.54
156	/	/	PUNCT	_	_	155	punct	_	@eie1987m-words#@eie1987m#2619.54#2619.91
157	хороший	хороший	ADJ	_	Animacy=Inan|Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	153	amod	_	@eie1987m-words#@eie1987m#2619.91#2620.28
158	/	/	PUNCT	_	_	159	punct	_	@eie1987m-words#@eie1987m#2620.28#2620.65
159	вопрос	вопрос	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	157	conj	_	@eie1987m-words#@eie1987m#2620.65#2621.02
160	/	/	PUNCT	_	_	159	punct	_	@eie1987m-words#@eie1987m#2621.02#2621.39
161	давайте	давать	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	162	nsubj	_	@eie1987m-words#@eie1987m#2624.39#2624.734
162	начнём	начать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	147	xcomp	_	@eie1987m-words#@eie1987m#2624.734#2625.078
163	сначала	сначала	ADV	_	Degree=Pos	162	advmod	_	@eie1987m-words#@eie1987m#2625.078#2625.422
164	/	/	PUNCT	_	_	165	punct	_	@eie1987m-words#@eie1987m#2625.422#2625.766
165	эээ	э	INTJ	_	_	162	conj	_	@eie1987m-words#@eie1987m#2625.766#2626.11
166	/	/	PUNCT	_	_	165	punct	_	@eie1987m-words#@eie1987m#2626.11#2626.454
167	про	про	ADP	_	_	168	case	_	@eie1987m-words#@eie1987m#2626.454#2626.798
168	альбом	альбом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	165	obl	_	@eie1987m-words#@eie1987m#2626.798#2627.146
169	про	про	ADP	_	_	171	case	_	@eie1987m-words#@eie1987m#2627.829#2628.064
170	новый	новый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	171	amod	_	@eie1987m-words#@eie1987m#2628.064#2628.299
171	альбом	альбом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	168	nmod	_	@eie1987m-words#@eie1987m#2628.299#2628.536
172	#цокает#	#цокает#	X	_	_	171	nmod	_	@eie1987m-words#@eie1987m#2628.926#2629.269
173	/	/	PUNCT	_	_	181	punct	_	@eie1987m-words#@eie1987m#2629.269#2629.612
174	у	у	ADP	_	_	175	case	_	@eie1987m-words#@eie1987m#2629.612#2629.955
175	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	181	nmod	_	@eie1987m-words#@eie1987m#2629.955#2630.298
176	щас	сейчас	ADV	_	Degree=Pos	181	advmod	_	@eie1987m-words#@eie1987m#2630.298#2630.641
177	/	/	PUNCT	_	_	178	punct	_	@eie1987m-words#@eie1987m#2630.641#2630.984
178	э	э	INTJ	_	_	176	conj	_	@eie1987m-words#@eie1987m#2630.984#2631.327
179	/	/	PUNCT	_	_	178	punct	_	@eie1987m-words#@eie1987m#2631.327#2631.67
180	важная	важный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	181	amod	_	@eie1987m-words#@eie1987m#2631.67#2632.013
181	цель	цель	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	171	nsubj	_	@eie1987m-words#@eie1987m#2632.013#2632.356
182	/	/	PUNCT	_	_	186	punct	_	@eie1987m-words#@eie1987m#2632.356#2632.699
183	с	с	ADP	_	_	184	case	_	@eie1987m-words#@eie1987m#2632.699#2633.042
184	Эпидемией	эпидемия	PROPN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	186	obl	_	@eie1987m-words#@eie1987m#2633.042#2633.39
185	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	186	nsubj	_	@eie1987m-words#@eie1987m#2633.975#2634.312
186	работаем	работать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	181	parataxis	_	@eie1987m-words#@eie1987m#2634.312#2634.649
187	над	над	ADP	_	_	188	case	_	@eie1987m-words#@eie1987m#2634.649#2634.986
188	альбомом	альбом	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	186	obl	_	@eie1987m-words#@eie1987m#2634.986#2635.323
189	над	над	ADP	_	_	190	case	_	@eie1987m-words#@eie1987m#2635.323#2635.66
190	новым	новый	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	188	nmod	_	@eie1987m-words#@eie1987m#2635.66#2636.0
191	который	который	PRON	_	Case=Nom	197	nsubj	_	@eie1987m-words#@eie1987m#2636.902#2637.263
192	/	/	PUNCT	_	_	191	punct	_	@eie1987m-words#@eie1987m#2637.263#2637.624
193	ээ	ээ	INTJ	_	_	197	parataxis	_	@eie1987m-words#@eie1987m#2637.624#2637.985
194	/	/	PUNCT	_	_	193	punct	_	@eie1987m-words#@eie1987m#2637.985#2638.346
195	будет	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	197	aux	_	@eie1987m-words#@eie1987m#2638.346#2638.707
196	не	не	PART	_	_	197	advmod	_	@eie1987m-words#@eie1987m#2640.39#2640.731
197	соотноситься	соотноситься	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	190	xcomp	_	@eie1987m-words#@eie1987m#2640.731#2641.072
198	с	с	ADP	_	_	214	case	_	@eie1987m-words#@eie1987m#2641.072#2641.413
199	/	/	PUNCT	_	_	200	punct	_	@eie1987m-words#@eie1987m#2641.413#2641.754
200	э	э	INTJ	_	_	214	parataxis	_	@eie1987m-words#@eie1987m#2641.754#2642.095
201	/	/	PUNCT	_	_	200	punct	_	@eie1987m-words#@eie1987m#2642.095#2642.436
202	металл-операми	металл-опера	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur	214	nmod	_	@eie1987m-words#@eie1987m#2642.436#2642.78
203	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	214	mark	_	@eie1987m-words#@eie1987m#2643.17#2643.52
204	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	203	fixed	_	@eie1987m-words#@eie1987m#2643.52#2643.87
205	ну	ну	PART	_	_	214	parataxis	_	@eie1987m-words#@eie1987m#2643.87#2644.22
206	там	там	ADV	_	Degree=Pos	214	advmod	_	@eie1987m-words#@eie1987m#2644.22#2644.57
